,bird_species,bird_english_name,bird_generic_name,bird_song_url,bird_song_name
0,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/36065/download,SPChinchipe_FL 3Jul06 between Jaen_SanIgnacio.mp3
1,dorbignii,Moss-backed Sparrow,Arremon,https://xeno-canto.org/692727/download,XC692727-211202_4652_1.mp3
2,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/296852/download,XC296852-ChinchipeSpinetail_Peru_061915_song.mp3
3,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/296851/download,XC296851-ChinchipeSpinetail_Peru_061915_call.mp3
4,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/27768/download,ChinchipeSpinetailEdwards.mp3
5,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/763551/download,XC763551-Synallaxis-chichipensis_Jaen_MixPre-1816.wav
6,dorbignii,Moss-backed Sparrow,Arremon,https://xeno-canto.org/692726/download,XC692726-211203_4690.mp3
7,dabbenei,Yungas Sparrow,Rhynchospiza,https://xeno-canto.org/494097/download,XC494097-RhynchospizadabbTape11Salta.mp3
8,dorbignii,Moss-backed Sparrow,Arremon,https://xeno-canto.org/351193/download,"XC351193-160907_10_Saffron-billed Sparrow_Refugio Los Volcanes, Santa Cruz_6 Sep 2016 - trimmed.mp3"
9,dabbenei,Yungas Sparrow,Rhynchospiza,https://xeno-canto.org/288810/download,XC288810-Aimophila_strigiceps25Oct2015_0707hrs.mp3
10,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/230215/download,XC230215-Chinchipe Spinetail B 5361.mp3
11,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/230214/download,XC230214-Chinchipe Spinetail B 5360.mp3
12,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/230213/download,XC230213-Chinchipe Spinetail B 5359.mp3
13,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/230211/download,XC230211-Chinchipe Spinetail B 5362.mp3
14,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/122189/download,XC122189-20110515-0632-1087-PE-CJ-Jaen-Necklaced Spinetails.mp3
15,dabbenei,Yungas Sparrow,Rhynchospiza,https://xeno-canto.org/49729/download,SPARROW Stripe-capped_13_Lozano-1200 msnm-Jujuy_AR_4DIC98_Rosendo Fraga.mp3
16,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/36066/download,SPChinchipe_FL 3Jul06 betweenJaen_SanIgnacio.mp3
17,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/12113/download,ChinchipSp-FL.mp3
18,piperata,Spotted Berrypecker,Rhamphocharis,https://xeno-canto.org/459097/download,XC459097-Spotted Berrypecker.mp3
19,dorbignii,Moss-backed Sparrow,Arremon,https://xeno-canto.org/139295/download,XC139295-Arre_rflavirostris_call_Aguas Negras_PN Calilegua_Jujuy_27ENE2013_B Lopez-Lanus_BLL378-020.mp3
20,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/41184/download,SynChi_Jae_JH_07_MC.mp3
21,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/39069/download,SPChinchipe_FL 6Dec04Tamborapa (nrJaen).mp3
22,chinchipensis,Chinchipe Spinetail,Synallaxis,https://xeno-canto.org/13437/download,Chinchipe_Spinetail.mp3
23,owenii,Little Spotted Kiwi,Apteryx,https://xeno-canto.org/152944/download,XC152944-2013100249_2209_Apteryx owenii_M_F deroussen.mp3
24,owenii,Little Spotted Kiwi,Apteryx,https://xeno-canto.org/33754/download,Little_Spotted_Kiwi_spel_Tiritiri_Matangi_Island_2005-01-06.mp3
25,owenii,Little Spotted Kiwi,Apteryx,https://xeno-canto.org/182608/download,XC182608-2012_11_19 Apteryx owenii.mp3
26,owenii,Little Spotted Kiwi,Apteryx,https://xeno-canto.org/88143/download,LSKI_kapiti.mp3
27,owenii,Little Spotted Kiwi,Apteryx,https://xeno-canto.org/498079/download,XC498079-Little spotted kiwi-Apteryx owenii-181228_01-ShakespearePark.mp3
28,owenii,Little Spotted Kiwi,Apteryx,https://xeno-canto.org/215249/download,XC215249-Little Spotted Kiwi.mp3
29,haastii,Great Spotted Kiwi,Apteryx,https://xeno-canto.org/666024/download,XC666024-GSKiwi.BullockCreek.31.07.2021(2100).PairDuetting.RealyNice.wav
30,haastii,Great Spotted Kiwi,Apteryx,https://xeno-canto.org/579690/download,XC579690-GreatSpottedKiwiDuet.SunshineFlatShelter.25.07.2020(1845).mp3
31,haastii,Great Spotted Kiwi,Apteryx,https://xeno-canto.org/444298/download,XC444298-Apteryx haasti181121_T2277 .mp3
32,haastii,Great Spotted Kiwi,Apteryx,https://xeno-canto.org/345367/download,XC345367-Apteryx haasti161118_T1326.mp3
33,haastii,Great Spotted Kiwi,Apteryx,https://xeno-canto.org/114351/download,"XC114351-Kiwi, Great Spotted1.mp3"
34,haastii,Great Spotted Kiwi,Apteryx,https://xeno-canto.org/114337/download,"XC114337-Kiwi, Great Spotted2.mp3"
35,haastii,Great Spotted Kiwi,Apteryx,https://xeno-canto.org/345368/download,XC345368-Apteryx haasti161118_T1327.mp3
36,maculosa,Spotted Nothura,Nothura,https://xeno-canto.org/551587/download,XC551587-Inambu ZOOM0018.mp3
37,maculosa,Spotted Nothura,Nothura,https://xeno-canto.org/481402/download,XC481402-NothuramacLascanoUYTape52.mp3
38,maculosa,Spotted Nothura,Nothura,https://xeno-canto.org/744960/download,XC744960-211114_001codornaamarela.mp3
